customerID,firstName,lastName,phoneNo,loyalty_points,favorite_product,birthday
33,Drusilla,Bome,917-403-1395,427,1,12/10/1983
34,Yank,Lewinton,890-376-3285,669,6,1/9/1981
35,Brandice,Darling,533-748-1736,440,19,1/5/1992
36,Shandra,Pischoff,268-526-3626,551,17,8/25/1993
37,Morgan,Lakes,194-139-0071,30,16,9/15/1993
38,Reeba,Ackerman,161-904-1706,469,15,9/17/2003
39,Brandon,Gorrissen,224-179-8084,526,18,3/12/1999
40,Shirley,Genty,430-199-6109,129,15,7/3/1985
41,Christine,Tirone,382-290-2816,375,8,7/4/2003
42,Fae,Sauvan,859-407-1045,74,10,5/13/2005
43,Collin,Thunderman,646-821-6219,496,9,4/29/2000
44,Antonin,Tarver,249-834-2709,129,5,10/8/1981
45,Lela,Maestrini,130-619-5810,140,17,7/18/1999
46,Obadias,Pearl,452-670-1750,541,18,6/8/2003
47,Margit,Verrell,915-788-4215,769,4,2/14/1997
48,Gianni,Bohan,701-459-4180,135,4,12/13/2001
49,Caroljean,Hares,459-614-2282,171,20,2/25/1984
50,Alane,Hardan,894-178-4883,705,18,3/15/1996
51,Riva,Marzelle,608-422-4514,489,13,12/13/1999
52,Mel,Baford,853-472-1861,576,17,8/3/1982
53,Trevor,McNelis,970-599-7873,110,3,12/6/1991
54,Sallyanne,Fanstone,934-437-7006,96,9,10/17/1987
55,Jillana,Smitherman,729-767-8189,397,13,2/18/1985
56,Hewitt,Lipscombe,148-774-4343,668,8,12/9/1992
57,Artus,McGarrity,499-193-7544,433,11,12/5/1993
58,Forrest,Corbert,558-783-7231,65,2,10/16/1980
59,Oliy,Burbury,382-446-6544,83,16,8/31/1986
60,Wittie,While,297-681-1185,765,12,1/10/1988
61,Ahmed,Zamora,885-472-5001,487,2,10/30/1984
62,Geneva,Peschke,208-586-5767,166,18,3/11/2002
63,Melva,Labrom,131-686-9596,346,18,7/23/1982
64,Berti,Pattini,226-988-1829,226,14,5/27/2000
65,Wayland,Joice,825-235-2867,69,6,7/25/2000
66,Mariel,Kinnaird,568-117-3522,282,17,11/11/1998
67,Dalenna,Volet,865-604-8483,146,14,10/9/2004
68,Roman,Litton,252-750-9715,533,6,12/7/1992
69,Taber,Leimster,457-420-4845,689,13,1/1/1983
70,Nari,Spurier,646-933-7962,762,8,9/10/1987
71,Mehetabel,Kanwell,695-240-6415,15,17,7/7/2002
72,Biron,Jozef,128-492-1010,89,4,4/22/2003
73,Georgeta,Phipps,430-764-7040,126,5,1/13/2008
74,Caria,Pennetti,679-696-8995,54,6,5/14/1997
75,Mamie,Figure,693-833-5902,617,4,9/10/2002
76,Marguerite,Crome,783-329-4059,164,15,11/13/2000
77,Sherrie,Juares,240-215-1333,208,16,11/13/1988
78,Grissel,Krates,888-912-7063,215,1,9/26/1981
79,Marillin,Bosley,493-730-5891,352,8,1/20/1992
80,Selinda,Donaldson,426-235-4562,92,19,10/12/2008
81,Lorine,Laphorn,212-852-3222,699,13,11/4/2004
82,Ralph,Eberts,901-501-9460,417,1,12/3/1992
83,Waverly,Waud,536-219-0857,500,11,10/2/1989
84,Waylin,Dumbrall,172-210-6916,286,19,1/16/1988
85,Peggy,Sailes,336-674-7155,293,1,10/6/1991
86,Perri,Mengo,352-139-0034,513,12,12/3/2007
87,Kayla,Colaco,513-493-5412,273,20,2/16/2006
88,Sissy,Chaffin,420-708-3962,250,11,6/5/2006
89,Yale,O'Lynn,258-337-7456,656,20,6/10/2007
90,Chicky,Wyd,611-687-7337,443,16,1/31/1989
91,Elwin,Bagenal,205-836-3798,487,20,2/6/1989
92,Gilligan,Belding,971-154-8294,199,10,10/29/1983
93,Jan,Hellard,399-625-5273,488,12,12/4/1997
94,Mora,Eidler,761-910-5193,347,20,1/17/1995
95,Cecil,Hould,219-738-5899,416,4,2/13/1981
96,Hallie,Netherwood,512-524-5699,548,14,5/19/1987
97,Maggi,Rounsivall,331-337-7594,702,11,9/3/1984
98,Filmer,Karslake,470-705-6506,61,7,3/12/1990
99,Louie,Foakes,387-367-2971,687,15,4/7/2006
100,Eberto,Niess,532-102-5223,497,10,6/5/1995
101,Dwain,Davis,345-274-4052,274,14,1/21/1986
102,Dniren,Muckart,976-260-4899,538,20,1/18/1985
103,Alicea,Barter,185-666-7026,555,14,10/26/1998
104,Sandie,Benfell,302-266-0804,133,9,11/21/1981
105,Vida,Bilsborrow,749-234-5007,178,4,4/21/2005
106,Thebault,Unstead,539-302-0770,401,3,5/15/2003
107,Norma,Netherwood,961-961-1783,746,8,9/2/2002
108,Aile,Labdon,256-813-7943,174,19,2/11/1998
109,Suzy,Jedrzejczak,506-620-3859,542,4,12/1/1985
110,Whitney,Blue,932-803-3966,49,12,4/20/1990
111,Rey,Deadman,189-814-2238,657,5,8/16/1997
112,Bert,Theobalds,732-248-2091,627,12,1/11/1993
113,Evan,Absolem,290-532-6038,396,10,10/6/1983
114,Adel,Walls,817-900-0973,392,20,10/24/1989
115,Ramsay,MacCallum,758-870-2031,98,12,7/1/1992
116,Caprice,Kilfeather,341-486-3889,666,4,4/15/1985
117,Evvy,Aldritt,513-979-0466,82,10,9/12/1997
118,Greta,Gridley,740-646-2109,538,4,9/14/2000
119,Cooper,Brabin,951-738-8843,221,14,2/6/1991
120,Daron,Briscoe,868-481-6006,409,14,9/2/2008
121,Joella,Leeke,664-286-4332,427,4,8/5/1985
122,Zane,Haseldine,904-572-5962,223,10,7/2/1983
123,Chrotoem,Krelle,737-374-6402,288,3,11/5/1989
124,Jeanelle,Bispham,453-205-4741,270,4,10/2/1995
125,Noble,Seakin,218-783-0241,443,16,10/18/2005
126,Kalinda,Mathieson,665-200-2117,737,20,11/14/1987
127,Luis,Fitzsimon,340-826-7501,27,8,4/8/2007
128,Dav,Cresar,242-521-2829,685,19,4/3/1980
129,Leoine,Simeons,939-301-9375,372,6,10/21/1996
130,Lora,Hymas,233-636-4133,689,15,4/15/2007
131,Tatum,Ryam,551-591-4505,690,15,3/2/1993
132,Tasia,Hainsworth,483-620-3490,596,6,3/9/2002
133,Gordie,Conaboy,839-453-5848,386,8,5/12/1995
134,Rodger,Coggill,867-768-3161,714,16,2/21/1990
135,Eal,Gwyther,835-973-0160,190,7,2/26/2007
136,Thomas,Mulholland,932-816-0670,330,14,3/31/1999
137,Tedi,Pesticcio,961-209-4971,95,5,4/6/1983
138,Ariela,Fydoe,677-827-7881,328,14,7/26/2008
139,Boris,Peskett,305-506-0433,234,10,12/16/1995
140,Arturo,Bartlet,282-744-6742,623,18,12/4/2002
141,Demott,McKevany,773-191-8135,508,3,11/4/1983
142,Davy,Gisbey,739-445-3405,614,3,8/14/2006
143,Myrvyn,Hallihan,535-285-6039,607,1,11/2/1986
144,Casi,Proudlock,218-208-9207,28,19,5/9/2001
145,Jimmie,Valentim,760-714-4736,241,7,5/25/2000
146,Ric,Truder,465-830-6970,645,5,8/8/1982
147,Town,MacMillan,555-324-5522,128,9,1/24/1982
148,Mame,Roskell,220-243-8494,712,11,5/26/1986
149,Miriam,Flett,191-833-1171,550,8,4/11/2008
150,Fiona,Vearnals,448-191-0373,292,18,11/2/2006
151,Sibella,Robak,227-196-1772,501,19,12/10/2005
152,Regan,Kliemke,508-339-4833,424,13,3/5/1985
153,Pennie,Maren,803-958-0825,153,19,1/19/2002
154,Hamnet,Bonsul,908-978-2583,786,19,5/22/2007
155,Ardys,Divisek,902-844-5597,510,6,4/13/1981
156,Leone,Palethorpe,420-105-9773,1,15,6/20/1998
157,Ofilia,Bullene,899-523-9332,154,1,7/28/2005
158,Ayn,Brookzie,951-217-3861,739,20,1/16/1994
159,Maisie,Hillum,765-713-5400,506,9,10/10/1988
160,Dorian,Awton,304-835-5342,472,5,1/13/1981
161,Johnathon,Tomasek,687-832-3401,2,20,4/25/1999
162,Flora,Coners,116-456-7298,376,15,3/14/1984
163,Marcellus,Grimolbie,220-220-3868,243,3,2/27/2008
164,Dionisio,Skoggins,464-649-9691,716,8,7/30/1988
165,Darline,Broxup,871-412-3008,27,9,3/26/1998
166,Cybil,Paumier,374-385-8104,675,20,8/1/2008
167,Geneva,Kingsnod,139-258-3646,267,1,9/26/1990
168,Bartram,Othen,456-368-9517,536,9,3/12/1989
169,Sheree,Allabush,362-797-7777,358,9,3/21/1986
170,Bevin,Strelitzer,480-213-3008,660,5,4/24/1996
171,Sarine,Egalton,585-386-1880,66,4,6/1/2005
172,Darcee,Skitteral,564-173-5000,366,8,7/30/1985
173,Tristan,Wickett,945-261-3975,237,11,2/23/1990
174,Edee,Roskruge,915-325-9452,162,19,3/9/2005
175,Norri,Mulryan,606-251-4257,39,12,5/10/1998
176,Blanch,Santarelli,905-771-4957,43,4,1/20/2006
177,Christy,Manntschke,214-360-0928,548,19,8/9/1987
178,Heath,Leavold,899-332-4627,502,6,4/9/1981
179,Nanny,Streak,283-783-1727,643,8,3/23/2002
180,Martha,Seman,118-328-3334,77,15,10/2/1993
181,Quinn,Agney,954-461-1398,38,12,9/10/2000
182,Anni,Domingues,901-356-0163,377,10,1/11/1984
183,Dollie,Going,736-797-7199,478,14,9/23/2000
184,Leda,Warkup,368-596-2671,143,16,8/13/1999
185,Pierson,Leguey,991-336-5116,690,2,1/10/1996
186,Kimmie,Littledike,310-915-5558,139,4,9/5/2000
187,Stephanie,Ciccarello,351-413-2314,286,6,9/1/1984
188,Raquel,Fillimore,820-171-4786,391,16,1/23/2000
189,Garrett,Lahive,545-755-3298,27,11,4/24/1984
190,Timmy,Frazer,814-732-6215,639,7,6/25/1993
191,Peder,Dowling,768-555-5811,270,15,11/21/1998
192,Gerrie,Hinkes,510-844-2607,243,13,4/2/1987
193,Temple,Dorken,518-988-7249,668,3,10/30/1997
194,Armstrong,Benaine,108-195-0998,31,20,9/10/2002
195,Minta,Penticoot,484-859-0771,533,2,3/31/1982
196,Ronnie,Lippini,467-560-2317,101,3,12/15/2004
197,Jacob,Heugel,608-946-0809,104,16,7/19/2005
198,Kania,Lisciandro,469-408-7110,554,14,10/25/2004
199,Bondon,Jarred,610-148-7366,608,19,2/7/2007
200,Garrott,Fortie,292-683-1068,763,11,6/6/1990
201,Cherrita,Dofty,221-245-7213,21,17,7/10/1999
202,Stevy,Royal,233-231-0214,325,18,6/16/1993
203,Rossy,Lyard,313-646-3685,195,14,8/9/1994
204,Torr,Karim,826-940-7878,97,12,10/23/1993
205,Cortney,Ellard,256-622-3467,417,6,4/2/1986
206,Jeanne,Willshire,740-481-9906,358,5,11/27/1995
207,Muire,Normadell,870-377-3425,84,18,6/9/2003
208,Lindy,Scollard,969-816-0722,734,8,8/2/1988
209,Silvio,Seago,122-222-0146,532,4,5/28/2003
210,Barb,McKean,904-893-3094,606,15,9/7/1980
211,Xavier,Chadwin,106-415-2004,224,15,11/22/1982
212,Dari,Montrose,265-800-9101,102,3,11/6/2004
213,Rosella,McIlvoray,335-918-5825,467,10,4/3/1996
214,Rebekkah,Rudall,412-267-2933,54,8,5/3/1997
215,Reinaldos,Cardinale,360-233-5913,0,19,8/9/2004
216,Cristobal,De Cruze,550-430-9124,785,2,2/24/2006
217,Lorrie,Denkin,534-569-6631,376,3,2/19/1999
218,Basilius,Corzor,982-929-6175,156,9,2/16/1991
219,Chelsey,Isitt,648-463-9445,743,3,1/3/1993
220,Jedediah,De Carlo,396-615-2188,418,16,9/12/1998
221,Dulcy,Pionter,723-227-3552,673,8,7/4/1981
222,Chere,Brosnan,807-707-7369,776,7,3/26/1992
223,Ava,Dobel,628-798-2316,439,4,5/31/1988
224,Devina,Ings,201-470-6019,34,8,3/5/1998
225,Jerome,Linner,919-699-1895,420,2,1/30/1996
226,Mic,Karran,725-764-3462,186,2,5/5/2005
227,Delora,Roder,298-662-6265,29,12,8/18/2002
228,Elana,Kachel,448-226-5837,741,18,9/25/1985
229,Netti,Awdry,750-528-4522,375,10,5/29/1992
230,Martyn,Bromhead,214-533-7498,384,3,7/14/1983
231,Murielle,Godman,543-651-5102,490,2,10/30/1990
232,Charo,Iacivelli,803-931-0264,582,5,11/26/2003
233,Bernelle,Bolstridge,137-628-6872,280,10,7/16/2006
234,Sigfried,Manolov,688-943-1528,548,14,3/14/1997
235,Merola,Ellicott,980-310-8852,488,8,9/13/1980
236,Tabb,Dightham,959-268-3136,68,20,4/1/1993
237,Alexis,Wyllcocks,913-923-4025,743,5,10/22/1999
238,Neddie,Honeywood,640-767-4366,752,5,9/4/1992
239,Maressa,Prout,407-816-5088,790,14,4/7/1981
240,Dynah,Murray,754-546-5441,180,18,7/4/2007
241,Salvador,McGill,476-819-2671,541,15,5/9/1988
242,Ned,Sanja,831-777-6967,201,6,11/21/1984
243,Janifer,Edy,441-825-2443,611,5,12/21/1995
244,Jodie,Worsham,294-829-9017,590,3,1/1/1984
245,Aurelie,Boerder,910-432-7682,641,14,7/18/1983
246,Johanna,Strafford,591-782-1057,238,7,1/15/1994
247,Garrott,MacCosty,588-609-2223,762,20,9/21/1993
248,Nikos,Shailer,610-624-5398,722,10,2/17/2004
249,Ollie,Emma,692-909-6553,243,12,4/4/2000
250,Branden,Lambrechts,490-313-9986,584,2,5/25/1994
